,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
215,18.09.2017,D,D,L,L,L,W,W,D,W,L,L,L,W,W,W,L,D,L,W,W,D,L,D
216,19.09.2017,L,L,W,D,W,L,L,L,W,W,W,L,W,W,W,W,W,L,L,D,D,L,W
217,20.09.2017,W,L,L,D,L,D,D,L,D,W,D,D,D,L,L,D,D,W,W,W,L,D,D
218,21.09.2017,L,L,W,L,L,L,W,L,L,L,L,L,L,D,L,L,W,L,L,W,W,L,L
219,22.09.2017,W,W,L,D,L,W,L,W,L,W,W,D,D,W,W,W,L,L,L,L,W,W,L
221,25.09.2017,W,L,W,W,W,W,W,W,W,L,D,W,W,W,L,W,W,L,W,L,W,W,W
222,26.09.2017,L,D,L,D,W,L,W,D,W,W,W,W,L,L,W,W,W,D,D,D,W,L,D
223,27.09.2017,W,L,L,D,W,W,L,L,D,W,L,W,D,L,D,W,W,W,W,W,L,W,W
224,28.09.2017,L,W,L,W,D,L,D,W,W,W,L,L,W,D,D,L,D,L,L,D,W,L,D
225,29.09.2017,D,W,L,D,L,L,W,L,L,L,W,W,D,W,D,W,W,D,W,W,L,W,L
227,02.10.2017,D,W,L,D,L,L,L,D,W,W,W,L,L,W,D,W,W,W,W,W,W,L,D
228,03.10.2017,W,L,W,D,W,L,L,W,W,L,L,L,D,L,L,L,W,W,L,L,W,W,L
229,04.10.2017,L,W,L,D,D,L,D,L,L,W,L,L,D,L,W,L,L,W,L,L,L,L,D
230,05.10.2017,W,L,W,W,W,L,W,L,W,W,W,W,L,W,D,W,W,W,W,D,W,W,W
231,06.10.2017,L,W,L,D,W,L,L,D,W,L,L,W,D,D,D,L,W,L,L,L,D,L,L
233,09.10.2017,D,D,L,W,L,W,W,L,L,L,W,W,L,W,D,W,L,L,L,W,W,L,D
234,10.10.2017,D,W,W,D,L,W,L,W,L,L,L,L,D,L,D,W,D,L,W,W,W,W,D
235,11.10.2017,W,W,D,D,D,L,L,L,L,L,L,L,L,D,D,D,D,W,L,L,L,L,W
236,12.10.2017,L,D,W,D,W,W,L,L,W,W,W,L,W,W,W,D,D,W,W,W,L,W,L
237,13.10.2017,L,W,L,L,L,W,W,L,L,L,W,W,D,D,W,W,L,L,L,L,D,L,D
239,16.10.2017,W,W,W,D,L,L,W,D,W,L,L,L,D,W,L,L,W,D,L,L,D,D,D
240,17.10.2017,L,W,L,D,L,L,L,W,L,W,L,L,D,L,L,L,W,W,W,W,W,L,W
241,18.10.2017,W,L,W,D,L,L,W,D,L,W,L,W,W,L,L,W,W,D,W,W,W,D,D
242,19.10.2017,D,L,D,D,W,W,W,L,L,W,L,W,W,W,D,W,L,L,D,W,L,W,L
243,20.10.2017,L,D,L,D,L,L,L,D,W,W,W,L,L,W,D,L,W,L,W,W,W,W,D
245,23.10.2017,L,L,L,W,W,L,L,L,W,W,W,L,L,W,L,L,W,L,W,L,D,W,D
246,24.10.2017,L,W,L,D,W,W,W,W,L,L,L,W,W,W,D,W,W,L,L,W,W,W,L
247,25.10.2017,L,W,L,L,W,L,W,L,L,L,L,W,L,D,W,L,W,W,W,L,L,W,L
248,26.10.2017,L,L,W,D,L,W,L,W,L,W,L,W,L,L,W,W,W,D,W,D,D,D,W
249,27.10.2017,D,D,L,W,L,L,D,L,D,D,D,D,L,D,D,D,L,L,W,D,L,L,W
251,30.10.2017,D,W,W,D,W,W,W,W,W,W,D,W,L,W,L,W,L,D,W,W,D,W,L
252,31.10.2017,D,W,L,D,L,D,D,L,L,W,D,D,D,D,W,D,L,W,W,W,W,D,L
253,01.11.2017,L,L,W,D,W,W,W,D,W,W,L,W,D,W,L,D,W,D,L,W,L,W,D
254,02.11.2017,L,W,D,D,D,D,W,W,L,L,W,W,L,W,L,W,L,W,W,L,W,L,L
255,03.11.2017,D,W,D,D,L,W,L,W,W,L,D,D,D,D,D,W,L,L,L,W,W,W,L
257,06.11.2017,D,W,W,L,L,L,L,W,W,W,W,W,D,W,L,L,L,D,D,L,W,D,L
258,07.11.2017,D,D,W,L,L,L,L,D,L,L,L,L,D,D,D,L,D,D,D,W,D,D,L
259,08.11.2017,L,W,W,L,L,W,L,L,L,L,L,W,L,W,L,W,L,L,W,L,W,W,W
260,09.11.2017,W,L,L,D,W,W,W,W,L,L,L,W,D,W,D,W,L,L,W,L,W,D,D
261,10.11.2017,D,L,W,W,L,L,W,D,D,D,D,D,D,W,L,L,W,L,W,D,D,W,D
263,13.11.2017,W,D,L,D,L,W,D,W,L,W,W,D,D,W,D,D,L,L,W,W,W,L,L
264,14.11.2017,L,L,W,W,W,L,L,W,W,L,W,L,L,W,D,L,L,W,W,W,W,L,W
265,15.11.2017,L,L,L,D,L,L,L,W,L,L,L,D,D,W,D,L,D,D,L,L,W,L,D
266,16.11.2017,W,L,L,W,D,W,W,D,D,W,W,W,W,W,D,W,L,D,L,L,D,W,W
267,17.11.2017,L,L,W,D,W,L,D,L,L,W,W,L,D,L,L,L,W,L,W,W,L,W,D
269,20.11.2017,L,W,L,L,L,W,L,W,W,L,W,W,D,L,D,L,L,L,L,L,D,L,L
270,21.11.2017,D,W,L,D,L,D,L,D,L,W,W,L,D,L,D,W,L,D,D,L,W,D,W
271,22.11.2017,D,L,W,D,W,W,W,W,W,W,W,W,W,L,D,W,W,W,L,L,W,L,D
272,23.11.2017,D,W,W,D,W,D,W,W,W,L,L,L,D,W,W,L,D,W,D,W,W,W,D
273,24.11.2017,L,W,L,L,L,L,L,D,W,L,L,L,L,L,L,L,L,L,L,W,W,L,L
275,27.11.2017,W,W,L,D,W,L,W,W,W,W,W,W,W,W,L,D,D,W,L,L,W,W,D
276,28.11.2017,L,L,L,D,L,D,L,L,D,D,D,D,W,W,W,L,W,L,W,D,D,W,D
277,29.11.2017,L,W,W,D,W,D,D,W,W,W,D,D,D,L,W,W,L,W,L,W,L,W,W
278,30.11.2017,L,W,L,W,W,W,W,L,W,L,W,W,L,L,W,L,L,W,L,L,W,L,D
279,01.12.2017,L,D,W,D,W,L,W,D,L,W,D,L,W,W,D,L,W,D,W,L,W,W,D
281,04.12.2017,W,L,D,D,D,W,L,L,D,D,D,L,L,D,D,L,D,W,L,D,L,W,D
282,05.12.2017,W,L,L,D,L,D,W,D,L,W,D,D,W,L,D,W,L,L,D,D,W,L,D
283,06.12.2017,L,W,W,W,D,D,L,D,W,W,W,L,L,W,D,L,W,W,D,W,D,W,D
